CONTAINERNUMBER,ADDRESS,LATITUDE,LONGITUDE,FRACTION,COUNTER,FILLHEIGHT,DATE,TEMPERATURE
'2414','Moldberget 72','58.8344283','5.7745117','Papir','44','765','23.04.2019','21'
'3231','Moldberget 72','58.8344283','5.7745117','Bio','174','2301','23.04.2019',' '
'2462','Moldberget 72','58.8344283','5.7745117','Restavfall','22','2321','23.04.2019','21'
'3645','Moldberget v/ 130','58.8342650','5.7771100','Bio','103','2038','23.04.2019',' '
'3637','Moldberget v/ 130','58.8342650','5.7771100','Restavfall','76','377','02.04.2019',' '
'3633','Moldberget v/ 130','58.8342650','5.7771100','Papir','186','1183','15.04.2019',' '
'1831','Molkeholen','58.9525267','5.6838983','Restavfall','179','1044','23.04.2019','19'
'1749','Molkeholen','58.9525267','5.6838983','Restavfall','49','1223','17.04.2019',' '
'1843','Molkeholen','58.9525267','5.6838983','Papir','27','1420','23.04.2019',' '
'1852','Molkeholen','58.9525267','5.6838983','Bio','6','2223','23.04.2019','15'
